Nama Resto,alamat,daerah,buka_tutup,jam_buka,jam_tutup,harga_semua,harga_awal,harga_akhir,rata_rata,rating,telepon,tipe,menu,review 
Bakmi GM Gramedia Matraman,"Jl. Matraman Raya No.2, RT.2/RW.1, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.3,81119168718,Restoran,"Bakmi Ayam, Bakmi Goreng, Pangsit Goreng, Nasi Goreng","Selalu suka masakan bakmie legend ini. Citarasa ngga berubah, hanya kemasannya aja yg serba praktis. Yg suka pedes, jangan lupa minta tambahan sambelnya."
Waroeng Sambal Bakar Utan Kayu,"9, Jl. Kramat Asem No.48, RT.9/RW.5, Utan Kayu Sel., Kec. Matraman, Daerah Khusus Ibukota Jakarta 13120",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,15.000  -  60.000,"15.000,00","60.000,00","37.500,00",4.6,895414896692,Restoran,"Ayam Bakar Sambal, Iga Bakar, Nasi Uduk, Tempe Goreng","Pertama makan disini cukup memuaskan,, nilanya renyah gurih Mateng nya pas,, sambal uleg nya jangan ditanya rasanya gimnaaaa gitu,, pas banget di lidah, tempatnya bersih dan nyaman, pokoknya recommend bangat nih tempat makan,, sampai ketemu dihari"" selanjutnya"
Kedai Tempo,"Jl. Utan Kayu Raya No.68H, RT.13/RW.6, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.5,82122015278,Café,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Tempatnya nyaman, masakannya juga lumayan. Untuk harga standard Jkt, untuk tempatnya sih g terlalu luas jadi kalau bisa reservasi dulu"
Pujasera Matraman,"QVX7+Q76, RT.1/RW.14, South Utan Kayu, Matraman, East Jakarta City, Jakarta",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,15.000  -  60.000,"15.000,00","60.000,00","37.500,00",4.3,81314829079,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Harganya murah murah, rasanya mantap"
ANORA Jakarta,"Jl. Utan Kayu Raya No.100B, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",Jakarta Timur,09.00  -  23.00,9:00:00 AM,  23.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.2,895331285888,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Tempatnya gemas dan lucuuu. Tapi parkirannya ada di seberangnya yaah karena untuk masuk ke dalam kita semacam melewati lorong terlebih dulu. Kalau mau dateng kusarankan setelah jam 3 sore agar lebih sejuk, karena cuma ada AC baik di indoor maupun outdoor. Di indoor ada AC tapi sewaktu aku dateng tidak dingin sama sekali (mungkin karena bahan atapnya). Untuk makanannya so so aja sih, tidak istimewa tapi cukup mengingat harganya tidak terlalu mahal namun tidak murah juga. Ada photobox juga di lorong depan, bisa foto-foto gemas! "
Waroeng Steak & Shake,"Jl. Utan Kayu Raya No.89, RT.1/RW.10, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.4,81317200400,Restoran,"Beef Steak, Chicken Steak, Milkshake, Salad","Tempat bersih, harga standar. Ada Fasilitas toilet pria dan wanita serta mushola.Pelayanan cukup cepat dan ramah."
"Paris di Jakarta, Central Kitchen","Gg. Mawar No.22, RT.4/RW.7, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.5,82210927070,Café,"Croissant, Quiche, Salad, French Onion Soup",Makanannya enak. Tempatnya nyaman. Perfect!! Burger 25ribuan. Strawberry after rainnya enak poll 22ribu ga kemanisan.
Nasi Goreng Bang Dul,"Jalan Kalisari Raya # 16 Kalisari , Pasar Rebo, Jakarta Timur, RT.2/RW.3, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790",Jakarta Timur,05.30  -  16.00,5:30:00 AM,  16.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.4,87881940812,PKL,"Nasi Goreng Spesial, Nasi Goreng Ayam, Nasi Goreng Seafood, Nasi Goreng Telur",Nasi goreng kaki 5 yang super murah dan rasanya yang enak dan konsisten! Ga pernah kecewa deh setiap kali pesen disini
Soto Sedaap Boyolali HJ WIDODO cabang CIJANTUNG,"Jl. RA. Fadillah, RT.10/RW.3, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",Jakarta Timur,07.00  -  12.00,7:00:00 AM,  12.00,5000  -  20.000,"5.000,00","20.000,00","12.500,00",4.5,8112650705,Restoran,"Soto Ayam, Soto Daging, Nasi Uduk, Sambal","Sotonya enak, rasanya lebih ke gurih dan sederhana, ga banyak micin gitu..."
Pempek Farel,"Jl. H. Hasan No.51, RT.1/RW.1, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.6,82140271001,PKL,"Pempek Kapal Selam, Pempek Lenjer, Pempek Adaan, Tekwan","Di Kalisari, paling lumayan ya ini. Harganya bersahabat. Rasa ikannya lumayan, cuma kalo makan di tempat panas dan agak gelap. Seller ramah dan cepat pelayanannya."
D'almonde Cake & Bakery,"Jl. H. Hasan No.4B 2, RT.2/RW.2, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",Jakarta Timur,06.00  -  22.00,6:00:00 AM,  22.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.6,2187702276,Bakery,"Cake, Cupcake, Donut, Pastry","Toko cake berkelas yg ada di Kalisari, Pasar Rebo. Rasanya enak, lembut, dan harganya masih ok lahh."
Global Cake & Bakery Kalisari,"Jl. Kalisari Raya No.68 2, RT.2/RW.3, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790",Jakarta Timur,07.00  -  12.00,7:00:00 AM,  12.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.7,81211420449,Bakery,"Cake, Cupcake, Donut, Pastry","Wahhh ada global bakery Topp banget lengkap dan harga sangat terjangkau, soal rasa mantul banget pokoknya"
Nursiah Cake House,"7, Gg. Mawar Sari I No.35, RT.7/RW.11, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790",Jakarta Timur,07.00  -  21.00,7:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.9,82211188782,Bakery,"Cake, Cupcake, Donut, Pastry","menjual macem kue kering & kue buat ultah, bucket snack dll dengan sistem po, untuk rasa gausah diragukan lagi mantul jamin, harga miringsss"
Holland Bakery Gedong,"Jl. Raya Tengah Gg. H. Nausin No.26, RT.5/RW.12, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760",Jakarta Timur,06.00  -  22.00,6:00:00 AM,  22.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.6,2180430220,Bakery,"Cake, Bread, Pastry, Donut","Enak dong. Dateng langsung lbh hepi milih2nya. Bisa minta tanpa box dan tas, spy ngurangin sampah, go geeen."
Roof Cafe,"Jl. Sunan Sedayu No.4, RT.1/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,12.15  -  02.45 ,12:15:00 PM,  02.45 ,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.6,81617949421,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Seperti restoran mahal, ternyata harganya murah-murah. Ayamnya enak banget ga asal-asalan bikinnya, tempatnya juga cozy pake sofa, lantai 2 indoor ternyata area merokok juga. Cuma untuk parkirannya lumayan sempit, dan motor yang ga muat parkir di depan restorannya akan dialihkan untuk parkir ke rumah warga atau ke sebrangnya, cukup skeptis takut motor kenapa2 tapi ada penjaga parkirnya kok🤗🤗"
NoMiNoMi Delight Rawamangun,"Jl. Pemuda No.72 - 73 DE, RT.1/RW.8, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,15.000  -  60.000,"15.000,00","60.000,00","37.500,00",4.5,2122868326,Café,"Ramen, Sushi, Tempura, Donburi","Salah satu ramen yang patut diperhitungkan kualitas masakan, rasa, platting, hingga harganya yang cukup murah. Semua menu yang ada disini perlu kalian coba, karena setuap menu yang ada hampir tidak ada yang gagal sedikitpun. Semuanya enak. Tempatnya pun cukup nyaman dan juga luas parkirnya. Aksesnya sangat strategis. Musholla dan kamar mandinya juga cukup bagus, rapih, dan bersih"
Restoran Cahaya Timur,"Jl. Pegambiran No. 24, Jati, Pulo Gadung, RT.9/RW.8, Rawamangun, Jakarta Timur, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.2,214751919,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Makanan nya non halal dan lumayan enak, porsi terlalu besar,untuk makan 1 orang, maka Jangan kaget kalau harganya lumayan mahal...  Tempat nya lumayan luas, dengan suasana jadul. Layanan biasa saja.... Saran sih, porsinya dikecilin agar harga lebih bersahabat...."
STEAKation Rawamangun,"Jl. Sunan Drajad Depan Alfamart Pemuda No.63, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,15.000  -  60.000,"15.000,00","60.000,00","37.500,00",4.5,85174306636,Restoran,"Beef Steak, Chicken Steak, Lamb Chop, Salad","Malam malam gw laper nih, terus cari tempat  makan pinggiran. Eh taunya ada yg jual steak dengan harga murah gaes!"
Royal Resto,"Jl. Pemuda No.1A 2, RT.2/RW.7, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,12.00  -  23.00,12:00:00 PM,  23.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.4,81311594598,Restoran,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","bagus, AC dingin sejuk, makanan enak banget, parkiran lumayan Rapi dan ada yg standby"
Domino's Pizza,"Paus Blok H Ps No 245, No 91 C, RT.4/RW.8, Jati, Kec. Pulo Gadung, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,20.000  -  500.000,"20.000,00","500.000,00","260.000,00",4.4,1500366,Restoran,"Pepperoni Pizza, Margherita Pizza, Chicken Wings, Garlic Bread","Menu favorit justru yg value pizza (murah). Biasanya disini pesan Beef Rasher / Chicken Pepperoni tapi biasanya gw selalu order dengan extra mozarella. Tambah Cola botol kecil total 73ribuan, lumayan sih dgn harga segitu."
Noesantara Coffee & Culinary,"Jl. Tawes No.21, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00  -  22.30,11:00:00 AM,  22.30,20.000  -  50.000,"20.000,00","50.000,00","35.000,00",4.4,1500366,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Salah satu the best cafe, lah, yaa. Langganan sejak buka. Harga menunya murah, tempatnya nyaman, dan suasananya oke. Cocok untuk nugas, nongki, dan makan-makan. Sebagai pencinta kopi, kopi di sini enak dan worth the price! Sukses terus Noesantara."
Sate Padang H. Ajo Manih,"Jl. Balai Pustaka Timur No.4, RT.4/RW.9, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 16968",Jakarta Timur,17.00  -  05.00,5:00:00 PM,  05.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.5,8128141154,PKL,"Sate Padang, Nasi Padang, Gulai, Rendang","Dapat rekomendasi sate padang dari teman orang padang. Andalan rawamangun katanya. Saya coba pesan campur seporsi ada lidah, daging, dan usus. Favorit saya yang daging karena lembut dan effortless saat digigit. Kuahnya dominan pedas lada dan gurih. Cukup membuat saya berkeringat di makam hari. Selain sate padang, disini ada juga keripik padang, kerupuk kulit, dan kudapan padang yang belum sempat saya coba. Keseluruhan, enak dan saya suka."
KFC,"Jl. Balai Pustaka Timur No.7, RT.7/RW.9, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,00.01  -  24.00,12:01:00 AM,  24.00,30.000  -  100.000,"30.000,00","100.000,00","65.000,00",4.4,8117156912,Restoran,"Burger, Fried Chicken, French Fries, Soft Drink","ENAK PUOL IKI, bumbunya kerasa banget, suka banget hihi "
Nasi Uduk OK,"Jl. Paus No.1, RT.1/RW.8, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,16.00  -  23.00,4:00:00 PM,  23.00,5000  -  20.000,"5.000,00","20.000,00","12.500,00",4.4,81806663067,PKL,"Nasi Uduk, Ayam Goreng, Sambal, Tempe Orek","Nasi uduk yang dijagokan beberapa rekan yang berseliweran di Rawamangun dan sekitarnya. Porsinya besar, baik dari nasi uduknya, maupun lelenya (1 porsi dapat 2 lele). Ditemani sambal merah dan sambal kacang. Ketika dicampur rasanya cukup unik. "
Belut Khas Surabaya Rawamangun,"Jl. Layur No.13, RT.13/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00  -  21.00,11:00:00 AM,  21.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.4,81221441474,PKL,"Belut Goreng, Belut Bakar, Sambal, Nasi Putih","Lagi pengen makan belut elek khas surabaya, nemu juga akhirnya di daerah rawamangun! Ternyata sudah dari 2011, surprisingly belut eleknya wenak! Gaada bau amisnya, sambelnya oke punya, pesan yang kering juga enakk, tumis toge kuahnha enak pulaa. Pegawainya ramah, pelayanan mantap lah. Cocok kalo lagi pengen makan belut. Wenak !"
Warung Sate Madura Cak Mamat,"21, Jl. Tenggiri No.18a, RT.4/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,04.00  -  23.00,4:00:00 AM,  23.00,6.000  -  25.000,"6.000,00","25.000,00","15.500,00",4.6,82114771432,PKL,"Sate Ayam, Sate Kambing, Nasi Putih, Sambal","ah enak semua dah satenya di sini. sate kambingnya gak prengus. sopnya juga enak segerrr. bumbu kacangnya enak, gurih, manis, gak enek. harga murah cuman 20 ribu"
STEAKMENT,"Jl. Kayu Putih Raya No.18, RW.1, Kayu Putih, Kec. Pulo Gadung, Jakarta, Daerah Khusus Ibukota Jakarta 13210",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,20.000  -  500.000,"20.000,00","500.000,00","260.000,00",4.8,81399977938,Restoran,"Beef Steak, Chicken Steak, Lamb Chop, Salad","Ini pertama kali kami mencoba berbuka puasa di steakment kebetulan dekat dr rumah kami di rawamangun, ternyata kesan pertama kami sungguh memuaskan kami memesan paket steak ramadhan berdua, sy memesan tenderloin medium well, meatnya sangat empuk dan juicy, saus mushroomnya jg sangat otentik, pelayanan sangat ramah dan situasi tempatnya sangat cozy dan waiter sangat ramah dan helpful, terima kasih steakment utk memberikan pelayanan prima kepada kami"
Resto Mutiara,"Jl. Mutiara No.22 4, RT.21/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.4,81281432960,Restoran,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Udh sering k berkah, tapi ksini baru 2x. Ternyata t4 nya enak, makanan enak. Walau kecil tempatnya. Pilihan lumayan banyak. Enak rasa makanannya. Cuma Krn kecil tempatnya jadi g ramai. N banyak nya pada pesan lewat gofood"
SHSD Sambel Hejo Sambel Dadak Rawamangun,"Jl. Cipinang Baru Utara No.35, RT.9/RW.3, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.5,214897289,Restoran,"Ayam Goreng, Sambel Hejo, Nasi Putih, Tempe Goreng","Makanan khas dan bernuansa Sunda tersaji di sini. Pelayanannya cepat, tanggap dan reservasi dilayani dengan baik. Makanan cepat diantar. Sambal hejo nya enak. Untuk makanan lainnya lumayan tapi tidak yang wow, ada sate maranggi, gurame bakar, gurame cobek, ayam goreng basah, perkedel jagung, tahu tempe goreng, karedok, kangkung, toge san ikan peda nya asin sekali."
WARUNG PASTA Rawamangun,"Jl. Balai Pustaka Timur No.53 Blok D6, RT.5/RW.10, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,12.00  -  22.00,12:00:00 PM,  22.00,50.000  -  150.000,"50.000,00","150.000,00","100.000,00",4.3,2147868706,Restoran,"Spaghetti Bolognese, Fettuccine Alfredo, Lasagna, Pizza","Selalu menjadi resto pasta kesukaan keluarga kami. Pasti menyempatkan sebulan bisa 2 sampai 3x untuk makan disini. Saking suasananya nyaman, makanan pun enak, dan paling penting harganya yang ramah dikantong"
Lesehan Gurame Pemuda,"Jl. Pemuda No.77, RT.1/RW.8, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,9.30  -  21.00,9:30:00 AM,  21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.1,214720594,Restoran,"Gurame Bakar, Ayam Goreng, Nasi Liwet, Sayur Asam",Makanan biasa aja. Harga lumayan mahal ya. Ada Mushola tapi kecil banget. Kalau buka bersama disini mau sholat antrinya terlalu lama. Parkirnya kalau penuh susah keluar harus nunggu yang lain keluar dulu.
Steak On Top Rawamangun,"Jl. Balai Pustaka No.6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,20.000  -  500.000,"20.000,00","500.000,00","260.000,00",4.9,87879880079,Restoran,"Beef Steak, Chicken Steak, Lamb Chop, Salad","Lokasi mudah ditemui, dan selalu ""on Top"" Di lantai paling atas. Parkiran cukup. Ada Indoor dan outdoor, pintu pembatas besar dan kalau pintunya lagi dibuka langsung udara panas di luar masuk ke indoor. Kalau malam hari sih ok. Kematangan steak sesuai, saus enak-enak (saran untuk tuna/salmon bisa ada opsi pemon creamy sauce), pilihan sayur (suka dg spinach+cheesy sauce) dan kentang cukup , kalau untuk pasta belum bisa komen rasa karena terbilang baru nyobain disini. Menu agak membingungkan (menu lamb hampir terlewat, karena yang cukup besar malah promo family nya).  Sedia salad dan cukup ragam minuman , belum ada yang dari buah segar."
Riung Tenda  -  Rawamangun,"Jl. Balai Pustaka Timur No.2, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,20.000  -  50.000,"20.000,00","50.000,00","35.000,00",4.5,85880531160,Restoran,"telur asin, cumi bakar, ikan goreng","Sesuai dengan selera khas Sundaudamg telur asin, cumi bakar yg manis guruh.. ikan gurami goreng kering sangat kriuk, sayur asem pedas yg penuh sayurannya.. segar.. terung balado bakar dgn sambel yang jos.. tempe tahu goreng gurih.. Harga sesuai rasa  dan porsi.. pelayanan cepat ramah dan service okay.. bakal balik lagi dan rekomendasi utk yang lain"
Bebek Kaleyo Rawamangun,"Jl. Pemuda No.290, RT.3/RW.1, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,25.000  -  50.000,"25.000,00","50.000,00","37.500,00",4.5,8118116461,Restoran,"Bebek Goreng, Nasi Uduk, Sambal, Tempe Goreng","Selalu suka sama menu di Bebek kaleyo, bebeknya lembut, no effort aja gitu makannya. Dimsumnya endolita bgt sih asli. Kali pertama ke sini pas promo pemilu. Asli cukup ramai dan sempat waiting list. Cuma karena ramai maka pelayanannya agak sedikit lambat. Cuma untuk orderan dimsum datengnya cukup lama hampir sejam, itupun harus tanya sampai 2 kali. Better ke sini pas tidak promo sih tapi enak"
Warung Mak Dower,"Jl. Pemuda No.72, RT.2/RW.4, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.4,85319108206,Restoran,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Sambelnya ga sepedes itu, tapi sedep bgt 🤤 Cumi Asin Goreng Bawangnya cuminya bersih, garing, bawangnya segunung, enak bgt. Pete Gorengnya diiris2 agak dalem jadi gampang bgt kita makannya, petenya mengkel, wangi."
Bakmie Siantar,"Jl. Sunan Sedayu No.1 Blok A, RT.1/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,09.00  -  21.00,9:00:00 AM,  21.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.5,81284793325,Restoran,"Bakmi Ayam, Bakso, Pangsit Goreng, Nasi Goreng","luar biasa makanannya enaaaak banget ciamikk puol rasanyaa!! non-smoking area, tempatnya bersih, tidak gerah (full ac) & dan enggak bikin engap meskipun ramai, harganya pun worth it untuk porsi yang banyak & rasa yang senikmat itu.."
Mako Cake & Bakery,"Jl. Paus No.10A 1, RT.1/RW.7, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",3.8,,Bakery,"Cake, Cupcake, Donut, Pastry",Mall nya ga jauh dari rumah hanya 10 menitan sampelah.. kemarin cari cake chantily yg round tp ga ada akhirnya membeli 2 cake ( chantily n blackforest ). blackforest di breadtalk paling favorite utk keluarga di rumah enak banget rasanya
TOUS les JOURS  -  Cibubur Junction,"JVJV+6MC, Jagorawi Toll Rd, RT.8/RW.7, Cibubur, Ciracas, East Jakarta City, Jakarta 13720",Jakarta Timur,07.00  -  20.00,7:00:00 AM,  20.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",3.8,2187756541,Bakery,"baguette, croissant, donut","Devinisi pelayanan prima..terkoreksi rasanya agak beda dari biasa saya minum.. Langsung Ganti Baru dan Good... ! Thank you tim TLJ,"
Burger King Cibubur Square,"Jagorawi Toll Rd Jl. Rest Area KM X No.5, RT.7/RW.1, Cipayung, East Jakarta City, Jakarta 13840",Jakarta Timur,00.01  -  24.00,12:01:00 AM,  24.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.5,2129068267,Restoran,"Whopper, Chicken Burger, French Fries, Soft Drink","Selalu mampir ke drive thru BK di rest area Cibubur, pelayanannya cepat order di pos trs nunggu di waiting bay jg gk terlalu lama. Utk rasa ya sama laa ya kek BK BK lainnya. Lumayan jajan utk penunda lapar "
Javakarta Resto,"Javakarta Resto, Jl. Jambore No.6, RT.3/RW.13, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.5,85691257969,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Makan disini sangat nyaman karena tempat nya yang memang cozy dan bisa membuat kita lebih rileks, karena pencahayaan nya yang baik, ditambah lagi ada live music yang mengiringi saat makan atau pun sharing dengan teman, apalagi tempat ini sangat nyaman juga untuk keluarga yang membawa anak karena disini juga ada kolam ikan yang bisa menghibur anak2, tempat duduk nya pun juga sangat nyaman bergaya klasik terbuat dari kayu, untuk area parkir pun juga sangat luas, jadi untuk motor atau pun mobil tidak perlu takut karena bisa parkir di area restoran yang telah disediakan, salah satu menu recommendasi nya yaitu ayam bumbu bali dan tempe mendoan nya, rasanya sangat nikmat dan menggugah selera."
Relatives Jakarta Coffee,"Jl. Cipayung Raya No.10, RT.4/RW.1, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840",Jakarta Timur,16.00  -  02.30,4:00:00 PM,  02.30,20.000  -  60.000,"20.000,00","60.000,00","40.000,00",4.5,83834366651,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Langganan bgt kopi disini, aku biasanya pesen sufi. Tp buat yg lainnya enak-enak kopinya gapernah ngecewain, kentang gorengnya mantaps, dan... Cirengnya luar biasa enakkkkkk live music penyanyinya keren2 ga cuma bisa nyanyi, tp suaranya candoeee"
Teras Rumah Nenek,"Jl. Abdulrahman No.46, RT.12/RW.5, Cibubur, Kec. Ciracas, Jakarta, Daerah Khusus Ibukota Jakarta 13720",Jakarta Timur,10.00  -  23.00,10:00:00 AM,  23.00,20.000  -  60.000,"20.000,00","60.000,00","40.000,00",4.8,85210610226,Café,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","tempatnya sejuk bgt, makanan dan snack nya juga enak, yg utama sih tempatnya yg nyaman bgt bener' menggambarkan rumah nenek, ada beberapa kartu dan game juga yg disediakan bisa buat topik ngobrol bareng teman"
Nusa Resto Pulau Pramuka,"Nusa Karamba, Gosong Pulau Pramuka, Kepulauan Seribu / Thousand Islands, North Jakarta, Jakarta",Kepulauan Seribu,09.00  -  21.00,9:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.4,8119326644,Restoran,"Seafood Platter, Ikan Bakar, Udang Goreng, Cumi Bakar","Resto yang terletak di tengah laut. Kami makan siang di sini setelah snorkeling di Pulau Air. Pilihan menu seafoodnya cukup bervariasi. Kami memesan cumi goreng tepung, potongan cuminya besar dan crunchy. Kerang bumbu asam manis juga potongannya besar2 tapi empuk. Favorit kami adalah bandeng bakar, dagingnya tebal dan cabut duri. Tumis kangkung bumbu tauco porsinya besar. Nasi goreng seafood juga enak."
Bakso Samping Plaza,"7J37+H3, Panggang Island, North Kepulauan Seribu, Kepulauan Seribu Regency, Jakarta 14530",Kepulauan Seribu,07.00  -  19.00,7:00:00 AM,  19.00,15.000  -  30.000,"15.000,00","30.000,00","22.500,00",4.8,85719417090,PKL,"Bakso Urat, Bakso Telur, Mie Ayam, Bakso Keju","kuahnya medok, rasanya enak, harga murah anget anget mantep"
